"Gene_ID","Gene_Symbol","SRR27553658","SRR27553659","SRR27553660","SRR27553661","SRR27553662","SRR27553663","SRR27553664","SRR27553665","SRR27553666","SRR25482874","SRR25482875","SRR25482876","SRR25482877","SRR25482878","SRR25482879","SRR25482880","SRR25482881"
"ENSOMYG00000033730","dennd2db",0.606437,0,0.516252,0.559592,0.769917,0.720204,1.921287,0.697897,0.355641,0,0,0.760357,0.244742,0,0,0,0
"ENSOMYG00000033732","MBD4",4.709561,2.635142,4.687597,3.628941,2.37261,4.568217,4.018605,5.166925,4.20155,1.33385,1.03876,3.540052,4.481654,5.35969,2.109044,3.471318,2.423256
"ENSOMYG00000033734","eif3jb",44.578892,45.203239,38.734589,31.494253,27.185476,25.808777,40.286312,37.6651,23.485893,8.111285,8.893417,16.863636,25.052246,27.241379,10.229885,13.21839,6.350052
"ENSOMYG00000033735","arfgap3",0.543783,0.587344,0,1.414918,3.336589,2.32011,2.137164,2.59306,2.114171,17.762255,18.158661,41.019547,25.536646,25.090111,18.032988,12.031634,1.799833
"ENSOMYG00000033736","zgc:153675",36.236149,23.313351,34.901909,30.118982,29.312445,33.378292,41.811989,29.492735,21.27339,27.067211,16.442326,47.086739,46.920528,58.803814,28.737511,25.196186,21.965031
"ENSOMYG00000033738","",5.825684,4.971904,3.836799,2.903814,4.553179,3.404244,5.364539,11.258013,4.295053,10.57439,10.299343,27.665714,22.81469,27.455057,14.601279,17.208454,13.337065
"ENSOMYG00000033745","fbxw5",24.095827,20.130697,21.686436,19.326195,22.957716,21.642504,30.040089,23.755629,22.464581,10.405821,9.091159,15.20829,13.126305,19.995491,11.975288,14.063579,8.683141
"ENSOMYG00000033747","GKAP1",0.055347,0.12425,0.284571,0.06971,0.282738,0.048772,2.399193,2.856656,0.30799,0,0,0,0,0,0.013683,0,0
"ENSOMYG00000033750","",29.773909,36.896935,38.059887,32.239555,29.098421,32.849426,37.534821,34.733982,35.539925,4.309657,4.47818,6.133705,7.713092,7.483287,10.783658,4.916904,4.358403
"ENSOMYG00000033753","esd",4.836051,3.751753,6.428756,3.988322,6.354089,5.526405,102.814018,6.096308,100.518669,0.536929,2.335558,1.695147,1.800252,2.912066,2.027743,0,1.670398
